id,label,weight,kruskal.Kruskal.kruskal,kruskal.Kruskal.Union,kruskal.Kruskal.dummy,kruskal.Kruskal.find,kruskal.Edge2.compareTo,kruskal.Kruskal.main
1,1,100,1,196,1,2914,22578,1
2,1,100,1,196,1,3078,22566,0
3,1,100,1,196,1,3698,22550,0
4,1,100,1,196,1,3639,22544,0
5,1,100,1,196,1,3349,22558,0
6,1,100,1,196,1,2719,22584,0
7,2,100,1,196,1,2569,50026,0
8,2,100,1,196,1,3981,49980,0
9,2,100,1,196,1,2932,50076,0
10,2,100,1,196,1,3572,49910,0
11,2,100,1,196,1,2768,50062,0
12,2,100,1,196,1,3885,50138,0
13,3,100,1,196,1,3223,79146,0
14,3,100,1,196,1,3020,79082,0
15,3,100,1,196,1,2901,79296,0
16,3,100,1,196,1,3290,79184,0
17,3,100,1,196,1,3090,79106,0
18,3,100,1,196,1,2826,79202,0
19,4,100,1,196,1,2760,109972,0
20,4,100,1,196,1,2968,109888,0
21,4,100,1,196,1,2580,110100,0
22,4,100,1,196,1,3051,109994,0
23,4,100,1,196,1,2525,110008,0
24,4,100,1,196,1,4499,109958,0
25,5,100,1,196,1,2828,141254,0
26,5,100,1,196,1,2543,141480,0
27,5,100,1,196,1,2706,141410,0
28,5,100,1,196,1,3122,141338,0
29,5,100,1,196,1,3184,141288,0
30,5,100,1,196,1,3422,141348,0
31,6,100,1,196,1,3232,173108,0
32,6,100,1,196,1,3246,173452,0
33,6,100,1,196,1,4001,173184,0
34,6,100,1,196,1,3271,173242,0
35,6,100,1,196,1,2844,173050,0
36,6,100,1,196,1,2924,173352,0
37,7,100,1,196,1,2964,205994,0
38,7,100,1,196,1,2697,206974,0
39,7,100,1,196,1,3010,207042,0
40,7,100,1,196,1,2923,207056,0
41,7,100,1,196,1,2662,207180,0
42,7,100,1,196,1,3010,207142,0
43,8,100,1,196,1,2954,239772,0
44,8,100,1,196,1,2709,239662,0
45,8,100,1,196,1,3082,239806,0
46,8,100,1,196,1,3489,239870,0
47,8,100,1,196,1,3679,239872,0
48,8,100,1,196,1,2682,239784,0
49,9,100,1,196,1,4945,272938,0
50,9,100,1,196,1,3046,272662,0
51,9,100,1,196,1,2857,272784,0
52,9,100,1,196,1,2988,272772,0
53,9,100,1,196,1,3985,272760,0
54,9,100,1,196,1,2490,272948,0
55,10,100,1,196,1,2972,307512,0
56,10,100,1,196,1,2874,307252,0
57,10,100,1,196,1,3336,307454,0
58,10,100,1,196,1,2685,307470,0
59,10,100,1,196,1,2921,307260,0
60,10,100,1,196,1,2917,307376,0
61,11,100,1,196,1,2824,341436,0
62,11,100,1,196,1,3063,341562,0
63,11,100,1,196,1,3331,341406,0
64,11,100,1,196,1,3000,341086,0
65,11,100,1,196,1,3375,341218,0
66,11,100,1,196,1,2817,341412,0
67,12,100,1,196,1,2924,376068,0
68,12,100,1,196,1,3089,376174,0
69,12,100,1,196,1,2926,375934,0
70,12,100,1,196,1,2465,376280,0
71,12,100,1,196,1,3007,376392,0
72,12,100,1,196,1,2976,376174,0
73,13,100,1,196,1,2892,410578,0
74,13,100,1,196,1,3090,410526,0
75,13,100,1,196,1,3373,410352,0
76,13,100,1,196,1,3426,410532,0
77,13,100,1,196,1,2495,410628,0
78,13,100,1,196,1,3527,410526,0
79,14,100,1,196,1,3240,449064,0
80,14,100,1,196,1,2985,449074,0
81,14,100,1,196,1,3865,448734,0
82,14,100,1,196,1,2541,449078,0
83,14,100,1,196,1,4299,448736,0
84,14,100,1,196,1,3644,448830,0
85,15,100,1,196,1,3031,483486,0
86,15,100,1,196,1,3269,483326,0
87,15,100,1,196,1,3137,483684,0
88,15,100,1,196,1,2445,483632,0
89,15,100,1,196,1,2979,483172,0
90,15,100,1,196,1,2789,483476,0
91,16,100,1,196,1,4300,519656,0
92,16,100,1,196,1,2900,519356,0
93,16,100,1,196,1,2679,519068,0
94,16,100,1,196,1,2488,519448,0
95,16,100,1,196,1,2547,519228,0
96,16,100,1,196,1,3390,518766,0
97,17,100,1,196,1,3013,554282,0
98,17,100,1,196,1,2727,554404,0
99,17,100,1,196,1,2730,554582,0
100,17,100,1,196,1,2960,554362,0
101,17,100,1,196,1,3335,554432,0
102,17,100,1,196,1,3062,554532,0
103,18,100,1,196,1,3026,590468,0
104,18,100,1,196,1,2792,590224,0
105,18,100,1,196,1,2988,590260,0
106,18,100,1,196,1,3462,590626,0
107,18,100,1,196,1,2757,590538,0
108,18,100,1,196,1,2400,590512,0
109,19,100,1,196,1,2805,627460,0
110,19,100,1,196,1,4313,627192,0
111,19,100,1,196,1,3042,627926,0
112,19,100,1,196,1,2971,627390,0
113,19,100,1,196,1,3118,628174,0
114,19,100,1,196,1,3154,628150,0
115,20,100,1,196,1,2796,664190,0
116,20,100,1,196,1,2657,663880,0
117,20,100,1,196,1,3207,663974,0
118,20,100,1,196,1,2976,663982,0
119,20,100,1,196,1,2687,664166,0
120,20,100,1,196,1,3452,664334,0